Caterer Name,Address,Contact Number,Email Address,Specialties,Price Range
Laxmi Caterers,"Hiran Magri, Sector 4, Udaipur",0294-2460202,info@laxmicaterers.in,"Vegetarian, North Indian, Chinese",Rs. 500 - Rs. 1000 per plate
Panna Lal Catering,"Raja Park, Jaipur",098291 20009,pannalalcaterers@gmail.com,"Rajasthani, North Indian, Continental",Rs. 300 - Rs. 800 per plate
Jodhpur Caterers,"9th C Road, Sardarpura, Jodhpur",0291-2627181,info@jodhpurcaterers.com,"Rajasthani, North Indian, Chinese",Rs. 600 - Rs. 1500 per plate
Shri Marwar Caterers,"2nd Floor, Om Shanti Complex, Bhupalpura, Udaipur",0294-2423634,info@shrimarwarcaterers.com,"Rajasthani, North Indian, Continental",Rs. 200 - Rs. 500 per plate
Sharma Caterers,"Ambabari, Jaipur",098290 57993,sharmacaterers.jaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 100 - Rs. 300 per plate
Saffron by Gaurav,"Pratap Nagar, Udaipur",091664 87801,saffronbygaurav@gmail.com,"Indian, Chinese, Italian",Rs. 1000 - Rs. 3000 per plate
Nandu Caterers,"60 Feet Road, Ratanada, Jodhpur",099501 04567,nanducaterersjodhpur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 700 - Rs. 1500 per plate
Madhurima Sweets & Caterers,"Malviya Nagar, Jaipur",099290 83443,info@madhurimasweets.in,"Rajasthani, North Indian, Continental",Rs. 600 - Rs. 1200 per plate
Udaipur Catering Services,"Ambamata Scheme, Udaipur",0294-2413478,udaipurcateringservices@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1000 per plate
Shri Shiv Caterers,"Tonk Phatak, Jaipur",098290 23165,shrishivcaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 300 - Rs. 800 per plate
Saffron,"Banipark, Jaipur",0141-5113232,info@saffronrestaurant.in,"Indian, Chinese, Continental",Rs. 600 - Rs. 1500 per plate
Mukta Event Managers & Caterers,"Raja Park, Jaipur",098290 48494,info@muktaeventmanagers.com,"Rajasthani, North Indian, Chinese",Rs. 200 - Rs. 500 per plate
Spice Court Catering,"Hathipole, Udaipur",091163 63331,info@spicecourt.in,"Indian, Chinese, Continental",Rs. 100 - Rs. 300 per plate
Raj Caterers,"Bani Park, Jaipur",098291 11320,rajcaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 3000 per plate
Raja Caterers,"Bani Park, Jaipur",098290 23632,rajacaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 700 - Rs. 1500 per plate
Sai Caterers,"Shastri Nagar, Jaipur",096720 67067,saicaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 600 - Rs. 1200 per plate
Rathi Caterers,"Ratanada, Jodhpur",094144 00005,info@rathicaterers.com,"Rajasthani, North Indian, Continental",Rs. 800 - Rs. 2000 per plate
The Royal Caterers,"Bani Park, Jaipur",098290 15700,info@theroyalcaterers.in,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 2000 per plate
Rasoi Caterers,"Subhash Chowk, Jodhpur",098291 11790,rasoi.caterers1@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1500 per plate
Shri Laxmi Caterers,"Bani Park, Jaipur",098290 29311,shrilaxmicaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 1800 per plate
Spice Court Catering,"Ashok Nagar, Udaipur",091163 63331,info@spicecourt.in,"Indian, Chinese, Continental",Rs. 100 - Rs. 500 per plate
Rajwada Caterers,"Raja Park, Jaipur",098290 44898,rajwadacaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 2000 per plate
Mohit Caterers,"Jhotwara, Jaipur",098290 52838,mohitcaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 3000 per plate
Balaji Caterers,"Surajpole Bazar, Udaipur",0294-2410831,balajicaterers.udaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1500 per plate
Nirmala Caterers,"Bani Park, Jaipur",094142 00760,nirmalacaterers1982@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Bhagwati Caterers,"Lal Kothi, Jaipur",098290 22288,bhagwaticaterersjpr@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Goyal Caterers,"Vidhyadhar Nagar, Jaipur",098290 23695,goyalcaterers2010@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Udaipur Food Caterers,"Durga Nursery Road, Udaipur",098290 00815,udaipurfoodcaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹1,000 - ₹3,000 per plate"
Shankar Caterers,"Lalkothi, Jaipur",098290 29596,shankarcaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Amantran Caterers,"Bani Park, Jaipur",098290 31175,amantrancaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
The Jaipur Caterers,"Vaishali Nagar, Jaipur",090013 33433,thejaipurcaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Sanchi Caterers,"Jhotwara, Jaipur",098290 52838,sanchicaterersjpr@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Utsav Caterers,"Raja Park, Jaipur",098290 44595,utsavcaterersjp@gmail.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Saffron Caterers,"Mansarovar, Jaipur",094140 40299,saffroncaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Yummy Caterers,"Tonk Road, Jaipur",097998 88889,yummymarriagecaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Maharaja Caterers,"Jhotwara, Jaipur",098290 13021,maharajacaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Shree Durga Caterers,"Shastri Nagar, Jaipur",099825 55555,shreedurgacaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Sodhani Caterers,"Khatipura, Jaipur",098290 11944,info@sodhanicaterers.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Jaipur Food Caterers,"Vaishali Nagar, Jaipur",096940 60630,jaipurfoodcaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹1,000 - ₹3,000 per plate"
Raj Caterers,"Adarsh Nagar, Jaipur",098290 44345,rajcaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
The Royal Wedding Caterers,"Bani Park, Jaipur",094142 29040,info@theroyalweddingcaterers.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 3000 per plate
Alankar Caterers,"Vaishali Nagar, Jaipur",098290 20254,alankarcaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 700 - Rs. 1500 per plate
Balaji Caterers,"Sodala, Jaipur",098290 44066,balajicaterersjpr@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 600 - Rs. 1200 per plate
