Name of Service Provider,Location,Contact Number,Email Address,Specialties,Price Range (INR),Rating
Dream Decor,Jaipur,-9829053289,info@royalweddingsjaipur.com,"Wedding decoration, Floral arrangements, Lightings, Tent arrangements","50,000 - 5,00,000",5
Celebrations Decor,Jaipur,-9785090964,efiestadecorators@gmail.com,"Wedding decoration, Corporate events, Stage decoration, Themed events","30,000 - 3,00,000",4
Classic Decorators,Jaipur,-8764093864,info@devikasakhuja.com,"Luxury wedding decoration, Floral arrangements, Lighting, Props, Fabric draping","1,00,000 - 10,00,000",5
Elegant Events,Jaipur,-9829054060,eliteweddingplanner@gmail.com,"Destination wedding decoration, Pre-wedding ceremonies, Themed events, Floral decoration","1,00,000 - 5,00,000",4
Festive Decor,Udaipur,-9414159918,shobhacreations@gmail.com,"Wedding decoration, Floral decoration, Stage decoration, Lighting","25,000 - 2,50,000",3
Floral Art,Jaipur,-9999039812,info@f5weddings.com,"Luxury wedding decoration, Themed events, Fabric draping, Floral arrangements","2,00,000 - 20,00,000",2
The Decorative Edge,Jodhpur,-8769773313,info@dreamzweddingplanner.com,"Destination wedding decoration, Pre-wedding ceremonies, Floral decoration, Lighting","75,000 - 7,50,000",1
The Event Makers,Jaipur,-9928986276,rajveertentdecorators@gmail.com,"Tent decoration, Lighting, Floral decoration, Stage decoration","20,000 - 2,00,000",4
The Party Place,Ajmer,-9829250814,info@thikanarajputanaevents.com,"Royal wedding decoration, Themed events, Fabric draping, Floral decoration","75,000 - 7,50,000",5
Unique Decor,Jaipur,-9887769449,info@dreamdzireeventz.com,"Corporate event decoration, Conference decoration, Stage decoration, Lighting","25,000 - 2,50,000",4
Royal Events,Jodhpur,-8696222141,info@radheevents.com,"Wedding decoration, Floral decoration, Lighting, Themed events","30,000 - 3,00,000",5
Sparkle Decor,Jaipur,-9887844465,info@rdesign.com,"Event decoration, Stage decoration, Lighting, Sound system","15,000 - 1,50,000",4
Festive Edge,Bikaner,-9414915713,rajshreetentdecorators@gmail.com,"Tent decoration, Lighting, Floral decoration, Stage decoration","20,000 - 2",3
The Decor Experts,Jaipur,9928628457,info@theroyalweddingplanners.com,"Theme decor, floral arrangements, lighting","Rs. 50,000 - 5,00,000",2
The Festive Touch,Udaipur,9829053528,info@prasangdecors.com,"Unique stage designs, custom decor, floral arrangements","Rs. 75,000 - 5,00,000",1
Dream World Decor,Jodhpur,9887726510,contact@shaadiwaledecorators.com,"Traditional and modern decor, lighting, stage setups","Rs. 25,000 - 2,00,000",4
The Party Planners,Ajmer,9214308730,info@vivahdecorators.com,"Elegant stage designs, floral arrangements, lighting","Rs. 50,000 - 3,00,000",5
The Decor Studio,Jaipur,9001796847,dreamzdecorator@gmail.com,"Luxurious decor, thematic setups, floral arrangements","Rs. 1,00,000 - 8,00,000",4
The Royal Touch,Jaisalmer,9784533675,gopaltentdecor@gmail.com,"Traditional decor, stage setups, lighting","Rs. 20,000 - 1,50,000",5
The Dream Decorators,Jaisalmer,9549671700,blueseaevents@gmail.com,"Beach and destination wedding decor, floral arrangements, lighting","Rs. 75,000 - 6,00,000",4
The Festive Decorators,Bikaner,9928473635,shobhatent@gmail.com,"Traditional decor, lighting, stage setups","Rs. 15,000 - 1,00,000",3
The Flower Power,Udaipur,9950304525,perfectweddingsdecor@gmail.com,"Elegant decor, floral arrangements, lighting","Rs. 50,000 - 3,00,000",2
The Palace Decor,Jaipur,9414064219,info@weddingdesigners.in,"Custom decor, thematic setups, floral arrangements","Rs. 1,00,000 - 10,00,000",1
The Elegant Decor,Gurugram,-169742,info@weddingdesigners.in,"Floral Decoration, Lighting, Thematic Decor","INR 1,00,000 - INR 10,00,000",4
The Decor Den,Faridabad,-106007,info@eventgurus.in,"Floral Decoration, Lighting, Thematic Decor","INR 50,000 - INR 5,00,000",5
The Majestic Decor,Karnal,-145979,poojaflowerdecorator@gmail.com,"Floral Decoration, Balloon Decoration","INR 20,000 - INR 2,00,000",4
The Celebrations Studio,Hisar,-152508,aakritievents@gmail.com,"Thematic Decor, Floral Decoration, Lighting","INR 30,000 - INR 3,00,000",5
The Graceful Decor,Panipat,-151183,shriradharaniflorist@gmail.com,"Floral Decoration, Balloon Decoration, Entrance Decor","INR 15,000 - INR 1,50,000",4
The Decorative Touch,Rohtak,-131911,akashflowerdecorators@gmail.com,"Floral Decoration, Lighting","INR 25,000 - INR 2,50,000",3
The Festive Garden,Kurukshetra,-126805,msweddingplanner@gmail.com,"Floral Decoration, Thematic Decor, Lighting","INR 40,000 - INR 4,00,000",2
The Enchanted Decor,Ambala,-191903,shreebalajievents1@gmail.com,"Thematic Decor, Lighting, Floral Decoration","INR 50,000 - INR 5,00,000",1
The Celebration Decor,Yamunanagar,-164391,srishtievents1@gmail.com,"Thematic Decor, Lighting, Floral Decoration","INR 30,000 - INR 3,00,000",4
The Elegant Events,Bhiwani,-110556,kdeventmanagement1@gmail.com,"Thematic Decor, Lighting, Floral Decoration","INR 25,000 - INR 2,50,000",5
The Decorative Dreams,Panipat,-97415,shubharambhdecorators@gmail.com,"Floral Decoration, Balloon Decoration","INR 10,000 - INR 1,00,000",4
The Festive Dazzle,Faridabad,-114673,creativedecoration2015@gmail.com,"Floral Decoration, Thematic Decor, Lighting","INR 50,000 - INR 5,00,000",5
The Majestic Events,Gurugram,-106944,info@weddingart.in,"Floral Decoration, Thematic Decor, Lighting","INR 1,00,000 - INR 10,00,000",4
The Royal Decor,"FNP Estate, Ashram Marg, Mandi Road, Gadaipur, New Delhi - 110030",1800-103-3873,info@fnpweddings.com,"Floral Decor, Stage Decor, Theme Decor, Venue Decoration","INR 100,000 - INR 10,00,000",3
The Glittering Decor,"A-290, Okhla Industrial Area, Phase-1, New Delhi - 110020",-139363,info@dreamzkraft.com,"Floral Decor, Stage Decor, Theme Decor, Venue Decoration","INR 1,50,000 - INR 25,00,000",2
The Dreamy Decor,"43, First Floor, North Avenue Road, Punjabi Bagh West, New Delhi - 110026",-142441,info@theweddingdesigners.in,"Floral Decor, Stage Decor, Theme Decor, Venue Decoration","INR 1,50,000 - INR 15,00,000",1
The Celebration Studio,"505, Vishal Tower, Janakpuri District Center, Janakpuri, New Delhi - 110058",-105336,themeweavers@gmail.com,"Theme Decor, Stage Decor, Lighting, Drapery","INR 50,000 - INR 10,00,000",4
The Floral Touch,"C-8/8098, Vasant Kunj, New Delhi - 110070",-109314,contact@designmyshaadi.com,"Floral Decor, Stage Decor, Theme Decor, Venue Decoration","INR 1,00,000 - INR 20,00,000",5
The Elegant Touch,"106, Garg Plaza, Road No. 44, Pitampura, New Delhi - 110034",-183836,info@ginnikhattardesigns.com,"Floral Decor, Theme Decor, Venue Decoration, Customized Design","INR 1,50,000 - INR 10,00,000",5
The Festive Palace,"9/80, Nehru Nagar, New Delhi - 110065",-161875,info@allureeventsindia.com,"Floral Decor, Theme Decor, Venue Decoration, Lighting","INR 1,50,000 - INR 25,00,000",4
The Graceful Events,"153-A, Ground Floor, Shahpur Jat, New Delhi - 110049",-148525,vivaahweddings@gmail.com,"Floral Decor, Stage Decor, Theme","INR 50,000 - INR 5,00,000",5
The Decorative Palace,"WZ-206, 2nd Floor, Bhaiji Market, Tikri Kalan",-9876543119,tiaaradecorators@gmail.com,"Theme Decor, Floral Decor, Stage Designing","INR 1,00,000 - INR 10,00,000",4
The Elegant Garden,"B-201, C R Park, New Delhi",-9876543120,designdcor@gmail.com,"Balloon Decoration, Themed Decor, Centrepieces","INR 100,000 - INR 10,00,000",3
The Festive Studio,"C-32, Nizamuddin West, New Delhi",-9876543121,theeventplanner@gmail.com,"Theme Based Decoration, Floral Decoration","INR 1,50,000 - INR 25,00,000",2
